[cddbp-alt] shop.sovryn.app:8880
[clearvisn] shop.sovryn.app:2052
[eli] shop.sovryn.app:2087
[eli] test.sovryn.app:2087
[gnunet] shop.sovryn.app:2086
[gnunet] test.sovryn.app:2086
[http] admin.sovryn.app:80
[http] api.test.sovryn.app:80
[http] arbitrumtest.sovryn.app:80
[http] autodiscover.sovryn.app:80
[http] babelfish.sovryn.app:80
[http] backend.sovryn.app:80
[http] bitocracy.sovryn.app:80
[http] bitocracy.test.sovryn.app:80
[http] bridge.sovryn.app:80
[http] bridge.staging.sovryn.app:80
[http] bridge.test.sovryn.app:80
[http] bsc.relay.sovryn.app:80
[http] ch.sovryn.app:80
[http] email.sovryn.app:80
[http] em.sovryn.app:80
[http] exchequer.sovryn.app:80
[http] exchequer.test.sovryn.app:80
[http] fastbtc.sovryn.app:80
[http] fastbtc.test.sovryn.app:80
[http] faucet.sovryn.app:80
[http] forum.sovryn.app:80
[http] genesis.sovryn.app:80
[http] gsn-relayer-xp3.sovryn.app:80
[http] live.sovryn.app:80
[http] mailservice.sovryn.app:80
[http] monitor.sovryn.app:80
[http] notify.sovryn.app:80
[http] og.sovryn.app:80
[http] pdp.sovryn.app:80
[http-proxy] bsc.relay.sovryn.app:8080
[http-proxy] shop.sovryn.app:8080
[http-proxy] tbsc.relay.sovryn.app:8080
[http-proxy] test.sovryn.app:8080
[http] rpc.eth.sovryn.app:80
[http] safe.sovryn.app:80
[http] safe.test.sovryn.app:80
[https-alt] shop.sovryn.app:8443
[https] arbitrumtest.sovryn.app:443
[https] bsc.relay.sovryn.app:443
[https] em.sovryn.app:443
[https] ex.sovryn.app:443
[https] forum.sovryn.app:443
[https] gsn-relayer-xp3.sovryn.app:443
[http] shop.sovryn.app:80
[https] mainnet2.sovryn.app:443
[https] mainnet.sovryn.app:443
[http] sovryn.app:80
[http] sovrython.sovryn.app:80
[http] sovvpn.sovryn.app:80
[https] pdp.sovryn.app:443
[https] redash.sovryn.app:443
[https] shop.sovryn.app:443
[https] sovryn.app:443
[https] sovvpn.sovryn.app:443
[http] staging.sovryn.app:80
[https] tbsc.relay.sovryn.app:443
[https] templatetest.sovryn.app:443
[https] testnet2.sovryn.app:443
[https] testnet.sovryn.app:443
[https] test.sovryn.app:443
[http] support.sovryn.app:80
[https] www.sovryn.app:443
[http] tbsc.relay.sovryn.app:80
[http] templatetest.sovryn.app:80
[http] test.sovryn.app:80
[http] treasury.sovryn.app:80
[http] vote.sovryn.app:80
[http] watcher.sovryn.app:80
[http] wiki.sovryn.app:80
[http] www.sovryn.app:80
[infowave] shop.sovryn.app:2082
[knetd] shop.sovryn.app:2053
[ms-wbt-server] pdp.sovryn.app:3389
[ms-wbt-server] templatetest.sovryn.app:3389
[nbx-dir] shop.sovryn.app:2096
[nbx-ser] shop.sovryn.app:2095
[radsec] shop.sovryn.app:2083
[radsec] test.sovryn.app:2083
[ssh] bsc.relay.sovryn.app:22
[ssh] gsn-relayer-xp3.sovryn.app:22
[ssh] sovvpn.sovryn.app:22
[ssh] tbsc.relay.sovryn.app:22
[sun-sr-https] www.sovryn.app:6443
