[amqp] sdk.squareup.com:5672
[ansoft-lm-2] data-platform.squareup.com:1084
[ansoft-lm-2] sdk.squareup.com:1084
[blackice-icecap] data-platform.squareup.com:8081
[blackice-icecap] sdk.squareup.com:8081
[ctf] data-platform.squareup.com:84
[ctf] sdk.squareup.com:84
[dn6-nlm-aud] sdk.squareup.com:195
[dnp] data-platform.squareup.com:20000
[dnp] sdk.squareup.com:20000
[d-s-n] data-platform.squareup.com:8086
[d-s-n] sdk.squareup.com:8086
[epp] data-platform.squareup.com:700
[epp] sdk.squareup.com:700
[EtherNetIP-1] sftp.p.iad1.squareup.com:2222
[EtherNetIP-1] sftp.p.sjc1b.squareup.com:2222
[EtherNetIP-1] sftp.p.sjc1.squareup.com:2222
[EtherNetIP-1] sftp.p.squareup.com:2222
[ff-annunc] data-platform.squareup.com:1089
[ff-annunc] sdk.squareup.com:1089
[http] account.squareup.com:80
[http] admin.squareup.com:80
[http] api-au.squareup.com:80
[http] api-global.iad1.squareup.com:80
[http] api-global.squareup.com:80
[http] api.iad1.squareup.com:80
[http] api.sjc1.squareup.com:80
[http] api.squareup.com:80
[http] app.squareup.com:80
[http] broadway.squareup.com:80
[http] buyer-portal.squareup.com:80
[http] capital.squareup.com:80
[http] careers.squareup.com:80
[http] content-platforms.squareup.com:80
[http] corner.squareup.com:80
[http] data-platform.squareup.com:80
[http] design.squareup.com:80
[http] docs.connect.squareup.com:80
[http] docs.squareup.com:80
[http] email.map.squareup.com:80
[http] email.vms.squareup.com:80
[http] enterpriseenrollment.squareup.com:80
[http] enterpriseregistration.squareup.com:80
[http] gemstash.squareup.com:80
[http] help.p.sjc1.squareup.com:80
[http] help.squareup.com:80
[http] ht.squareup.com:80
[http] identity-tokens.squareup.com:80
[http] investors.squareup.com:80
[http] is.squareup.com:80
[http] localizer.squareup.com:80
[http] mail.squareup.com:80
[http] market.squareup.com:80
[http] msoid.squareup.com:80
[http] my.squareup.com:80
[http] nat.st.sjc1.squareup.com:80
[http] origin-careers.squareup.com:80
[http] privacy.squareup.com:80
[http] profile.squareup.com:80
[http-proxy] data-platform.squareup.com:8080
[http-proxy] sdk.squareup.com:8080
[http] restaurants.squareup.com:80
[https] account.squareup.com:443
[https] admin.squareup.com:443
[https] api-au.squareup.com:443
[https] api-global.iad1.squareup.com:443
[https] api-global.squareup.com:443
[https] api.iad1.squareup.com:443
[https] api-jp.nrt1.squareup.com:443
[https] api-jp.squareup.com:443
[https] api.nrt1.squareup.com:443
[https] api.sjc1.squareup.com:443
[https] api.squareup.com:443
[https] app.squareup.com:443
[https] blog.squareup.com:443
[https] broadway.squareup.com:443
[https] buyer-portal.squareup.com:443
[https] capital.squareup.com:443
[https] careers.squareup.com:443
[https] connect.squareup.com:443
[https] content-platforms.squareup.com:443
[https] corner-move.squareup.com:443
[https] corner.squareup.com:443
[https] data-platform.squareup.com:443
[https] design.squareup.com:443
[https] developer.squareup.com:443
[https] developers.squareup.com:443
[http] sdk.squareup.com:80
[https] docs.connect.squareup.com:443
[https] docs.squareup.com:443
[https] email.map.squareup.com:443
[https] email.vms.squareup.com:443
[https] enterpriseenrollment.squareup.com:443
[https] enterpriseregistration.squareup.com:443
[https] explorer-gateway.squareup.com:443
[https] fulfillment.squareup.com:443
[https] gemstash.squareup.com:443
[https] help.p.sjc1.squareup.com:443
[https] help.squareup.com:443
[https] ht.squareup.com:443
[https] identity-tokens.squareup.com:443
[https] images.squareup.com:443
[https] imagestest.squareup.com:443
[https] investors.squareup.com:443
[https] is.squareup.com:443
[https] jobs.squareup.com:443
[https] js.squareup.com:443
[https] keygen.p.sjc1.squareup.com:443
[https] keygen.p.squareup.com:443
[https] keygen.squareup.com:443
[https] localizer.squareup.com:443
[https] mail.squareup.com:443
[https] market.squareup.com:443
[https] msoid.squareup.com:443
[https] my.squareup.com:443
[https] nat.st.sjc1.squareup.com:443
[https] non-disclosure.corp.squareup.com:443
[https] ocr-connect.squareup.com:443
[https] origin-careers.squareup.com:443
[https] pci-connect.squareup.com:443
[http] spiffe-oidc.squareup.com:80
[https] privacy.squareup.com:443
[https] profile.squareup.com:443
[http] squareup.com:80
[https] regulator.squareup.com:443
[https] restaurants.squareup.com:443
[https] sa.squareup.com:443
[https] sc-connect.squareup.com:443
[https] sdk.squareup.com:443
[https] sentry.squareup.com:443
[https] shuttle-ext.corp.squareup.com:443
[https] shuttle.squareup.com:443
[https] spiffe-oidc.squareup.com:443
[https] squareup.com:443
[https] status.squareup.com:443
[https] supportprofile.squareup.com:443
[http] status.squareup.com:80
[http] store.squareup.com:80
[http] supportprofile.squareup.com:80
[https] vpn.apac.corp.squareup.com:443
[https] vpn.apac.squareup.com:443
[https] vpn.east.corp.squareup.com:443
[https] vpn.east.squareup.com:443
[https] vpn.iad1.squareup.com:443
[https] vpn.nrt1.squareup.com:443
[https] vpn.sjc1.squareup.com:443
[https] vpn.west.corp.squareup.com:443
[https] vpn.west.squareup.com:443
[https] www.squareup.com:443
[https] xmstest.squareup.com:443
[http] www.squareup.com:80
[http] xmstest.squareup.com:80
[ies-lm] data-platform.squareup.com:1443
[ies-lm] sdk.squareup.com:1443
[imap] data-platform.squareup.com:143
[imaps] data-platform.squareup.com:993
[imap] sdk.squareup.com:143
[imaps] sdk.squareup.com:993
[jetdirect] data-platform.squareup.com:9100
[jetdirect] sdk.squareup.com:9100
[memcache] sdk.squareup.com:11211
[mit-ml-dev] data-platform.squareup.com:83
[mit-ml-dev] data-platform.squareup.com:85
[mit-ml-dev] sdk.squareup.com:83
[mit-ml-dev] sdk.squareup.com:85
[mqtt] sdk.squareup.com:1883
[ms-wbt-server] data-platform.squareup.com:3389
[ms-wbt-server] sdk.squareup.com:3389
[ncd-conf] data-platform.squareup.com:5999
[ncd-conf] sdk.squareup.com:5999
[ndmps] data-platform.squareup.com:30000
[ndmps] sdk.squareup.com:30000
[opsmessaging] data-platform.squareup.com:8090
[opsmessaging] sdk.squareup.com:8090
[pop3] data-platform.squareup.com:110
[pop3s] data-platform.squareup.com:995
[pop3] sdk.squareup.com:110
[pop3s] sdk.squareup.com:995
[postgresql] data-platform.squareup.com:5432
[postgresql] sdk.squareup.com:5432
[radan-http] data-platform.squareup.com:8088
[radan-http] sdk.squareup.com:8088
[redis] sdk.squareup.com:6379
[rtmp] data-platform.squareup.com:1935
[rtmp] sdk.squareup.com:1935
[] sdk.squareup.com:8863
