[cddbp-alt] stacktical.com:8880
[eli] stacktical.com:2087
[http-proxy] blog.stacktical.com:8080
[http-proxy] new.stacktical.com:8080
[http-proxy] readme.stacktical.com:8080
[http-proxy] stacktical.com:8080
[http-proxy] staging.stacktical.com:8080
[http-proxy] www.stacktical.com:8080
[https-alt] stacktical.com:8443
[https] blog.stacktical.com:443
[https] new.stacktical.com:443
[https] readme.stacktical.com:443
[https] stacktical.com:443
[https] staging.stacktical.com:443
[http] stacktical.com:80
[https] tracking.stacktical.com:443
[https] www.stacktical.com:443
[http] tracking.stacktical.com:80
[ssh] vault.stacktical.com:22
