[cddbp-alt] sturdy.finance:8880
[eli] sturdy.finance:2087
[gnunet] sturdy.finance:2086
[http-proxy] sturdy.finance:8080
[https] admin.sturdy.finance:443
[https] app.sturdy.finance:443
[https] autodiscover.sturdy.finance:443
[https] docs.sturdy.finance:443
[https] lyncdiscover.sturdy.finance:443
[https] mail.sturdy.finance:443
[https] sip.sturdy.finance:443
[https] staging.sturdy.finance:443
[https] sturdy.finance:443
[http] sturdy.finance:80
[https] www.sturdy.finance:443
[infowave] sturdy.finance:2082
[nbx-dir] sturdy.finance:2096
[radsec] sturdy.finance:2083
