[aero] broker.cloud.superawesome.tv:8060
[http] accounts.kws.staging.superawesome.tv:80
[http] accounts.kws.superawesome.tv:80
[http] ads.superawesome.tv:80
[http] api2.superawesome.tv:80
[http] api.dashboard.superawesome.tv:80
[http] api.kws.staging.superawesome.tv:80
[http] api.kws.superawesome.tv:80
[http] api.staging.superawesome.tv:80
[http] api.superawesome.tv:80
[http] apm.superawesome.tv:80
[http] app-mattel-inc-parents.kws.superawesome.tv:80
[http] app-niantic-parents.kws.superawesome.tv:80
[http] ap-southeast-1-innersloth.api.kws.superawesome.tv:80
[http] auth.staging.superawesome.tv:80
[http] auth.superawesome.tv:80
[http] awesomeads.staging.superawesome.tv:80
[http] beta.ads.superawesome.tv:80
[http] blog.superawesome.tv:80
[http] broker.cloud.staging.superawesome.tv:80
[http] broker.cloud.superawesome.tv:80
[http] calendar.superawesome.tv:80
[http] confluence.superawesome.tv:80
[http] control-panel-api.demo.superawesome.tv:80
[http] cpanelapi.staging.superawesome.tv:80
[http] cpanel.staging.superawesome.tv:80
[http] cpapi.kws.staging.superawesome.tv:80
[http] cpapi.kws.superawesome.tv:80
[http] dashboard.staging.superawesome.tv:80
[http] dashboard.superawesome.tv:80
[http] developers.superawesome.tv:80
[http] developer.superawesome.tv:80
[http] devportal.kws.staging.superawesome.tv:80
[http] doc.superawesome.tv:80
[http] domains.innersloth.kws.superawesome.tv:80
[http] domains.niantic.kws.superawesome.tv:80
[http] epic-games.parents.kws.superawesome.tv:80
[http] eu-west-1-ads.superawesome.tv:80
[http] eu-west-1.awesomeads.staging.superawesome.tv:80
[http] eu-west-1-innersloth.api.kws.superawesome.tv:80
[http] eu-west-1-prog-filter.superawesome.tv:80
[http] events.kws.superawesome.tv:80
[http] events-v2.studio.superawesome.tv:80
[http] hackday.superawesome.tv:80
[http] hello-world.superawesome.tv:80
[http] hub.superawesome.tv:80
[http] innersloth.api.kws.superawesome.tv:80
[http] innersloth-cpanel.kws.superawesome.tv:80
[http] innersloth.cpapi.kws.superawesome.tv:80
[http] innersloth.events.kws.superawesome.tv:80
[http] innersloth.kws.superawesome.tv:80
[http] innersloth.parentsapi.kws.superawesome.tv:80
[http] innersloth.parentsapp.kws.superawesome.tv:80
[http] innersloth.parents.kws.superawesome.tv:80
[http] innersloth.sso.kws.superawesome.tv:80
[http] jira.superawesome.tv:80
[http] ksf.staging.superawesome.tv:80
[http] ksiq.superawesome.tv:80
[http] kwsapi.demo.superawesome.tv:80
[http] kwsapi.staging.superawesome.tv:80
[http] kws-cluster-pj-staging.worker.kws.superawesome.tv:80
[http] kws.demo.superawesome.tv:80
[http] kws.superawesome.tv:80
[http] mail.superawesome.tv:80
[http] mattel-inc.api.kws.superawesome.tv:80
[http] mattel-inc-parentsapi.kws.superawesome.tv:80
[http] mattel-inc-parents.kws.superawesome.tv:80
[http] mattel-inc-sso.kws.superawesome.tv:80
[http] metabase.superawesome.tv:80
[http] mlp.staging.superawesome.tv:80
[http] niantic.api.kws.superawesome.tv:80
[http] niantic.cpapi.kws.superawesome.tv:80
[http] niantic-events.kws.superawesome.tv:80
[http] niantic-parentsapi.kws.superawesome.tv:80
[http] niantic.parentsapp.kws.superawesome.tv:80
[http] niantic-parents.kws.superawesome.tv:80
[http] niantic-sso.kws.superawesome.tv:80
[http] niantic-test-parents.kws.superawesome.tv:80
[http] niantic-test-sso.kws.superawesome.tv:80
[http] niantic.websockets.kws.superawesome.tv:80
[http] parentsapi.demo.superawesome.tv:80
[http] parentsapi.kws.superawesome.tv:80
[http] parentsapi.staging.superawesome.tv:80
[http] parentsapp.kws.superawesome.tv:80
[http] parentsapp.staging.superawesome.tv:80
[http] parents.demo.superawesome.tv:80
[http] parents.kws.superawesome.tv:80
[http] parents.staging.superawesome.tv:80
[http] placement-links.dashboard.superawesome.tv:80
[http] preview.superawesome.tv:80
[http] preview-v2.staging.superawesome.tv:80
[http] preview-v2.superawesome.tv:80
[http] prog-filter.superawesome.tv:80
[http] prog-renderer.superawesome.tv:80
[http-proxy] blog.superawesome.tv:8080
[http-proxy] confluence.superawesome.tv:8080
[http-proxy] developers.superawesome.tv:8080
[http-proxy] jira.superawesome.tv:8080
[http-proxy] niantic-test-parents.kws.superawesome.tv:8080
[http-proxy] niantic-test-sso.kws.superawesome.tv:8080
[http-proxy] support.superawesome.tv:8080
[http] reports.dashboard.superawesome.tv:80
[https] accounts.kws.staging.superawesome.tv:443
[https] accounts.kws.superawesome.tv:443
[https] ads.superawesome.tv:443
[http] sa-mobile-sdk-advertiser-android.superawesome.tv:80
[http] sa-mobile-sdk-advertiser-ios.superawesome.tv:80
[http] sa-mobile-sdk-android.superawesome.tv:80
[http] sa-mobile-sdk-ios.superawesome.tv:80
[https] api2.superawesome.tv:443
[https] api.dashboard.superawesome.tv:443
[https] api.kws.staging.superawesome.tv:443
[https] api.kws.superawesome.tv:443
[https] api.staging.superawesome.tv:443
[https] api.superawesome.tv:443
[https] apm.superawesome.tv:443
[https] app-mattel-inc-parents.kws.superawesome.tv:443
[https] app-niantic-parents.kws.superawesome.tv:443
[https] ap-southeast-1-innersloth.api.kws.superawesome.tv:443
[http] sa-unity-sdk.superawesome.tv:80
[https] auth.staging.superawesome.tv:443
[https] auth.superawesome.tv:443
[https] awesomeads.staging.superawesome.tv:443
[https] blog.superawesome.tv:443
[https] broker.cloud.staging.superawesome.tv:443
[https] broker.cloud.superawesome.tv:443
[https] calendar.superawesome.tv:443
[https] confluence.superawesome.tv:443
[https] control-panel-api.demo.superawesome.tv:443
[https] cpanelapi.staging.superawesome.tv:443
[https] cpanel.staging.superawesome.tv:443
[https] cpapi.kws.staging.superawesome.tv:443
[https] cpapi.kws.superawesome.tv:443
[https] dashboard.staging.superawesome.tv:443
[https] dashboard.superawesome.tv:443
[https] developers.superawesome.tv:443
[https] devportal.kws.staging.superawesome.tv:443
[https] doc.superawesome.tv:443
[https] domains.innersloth.kws.superawesome.tv:443
[https] domains.niantic.kws.superawesome.tv:443
[https] epic-games.parents.kws.superawesome.tv:443
[https] eu-west-1-ads.superawesome.tv:443
[https] eu-west-1.awesomeads.staging.superawesome.tv:443
[https] eu-west-1-innersloth.api.kws.superawesome.tv:443
[https] eu-west-1-prog-filter.superawesome.tv:443
[https] events.kws.superawesome.tv:443
[https] events-v2.studio.superawesome.tv:443
[https] hackday.superawesome.tv:443
[https] hello-world.superawesome.tv:443
[https] hub.superawesome.tv:443
[http] sift-callbacks.superawesome.tv:80
[https] innersloth.api.kws.superawesome.tv:443
[https] innersloth-cpanel.kws.superawesome.tv:443
[https] innersloth.cpapi.kws.superawesome.tv:443
[https] innersloth.events.kws.superawesome.tv:443
[https] innersloth.kws.superawesome.tv:443
[https] innersloth.parentsapi.kws.superawesome.tv:443
[https] innersloth.parentsapp.kws.superawesome.tv:443
[https] innersloth.parents.kws.superawesome.tv:443
[https] innersloth.sso.kws.superawesome.tv:443
[https] jira.superawesome.tv:443
[https] ksf.staging.superawesome.tv:443
[https] ksiq.superawesome.tv:443
[https] kwsapi.demo.superawesome.tv:443
[https] kwsapi.staging.superawesome.tv:443
[https] kws-cluster-pj-staging.worker.kws.superawesome.tv:443
[https] kws.demo.superawesome.tv:443
[https] kws.superawesome.tv:443
[https] mail.superawesome.tv:443
[https] mattel-inc.api.kws.superawesome.tv:443
[https] mattel-inc-parentsapi.kws.superawesome.tv:443
[https] mattel-inc-parents.kws.superawesome.tv:443
[https] mattel-inc-sso.kws.superawesome.tv:443
[https] metabase.superawesome.tv:443
[https] niantic.api.kws.superawesome.tv:443
[https] niantic.cpapi.kws.superawesome.tv:443
[https] niantic-events.kws.superawesome.tv:443
[https] niantic-parentsapi.kws.superawesome.tv:443
[https] niantic.parentsapp.kws.superawesome.tv:443
[https] niantic-parents.kws.superawesome.tv:443
[https] niantic-sso.kws.superawesome.tv:443
[https] niantic-test-parents.kws.superawesome.tv:443
[https] niantic-test-sso.kws.superawesome.tv:443
[https] niantic.websockets.kws.superawesome.tv:443
[https] parentsapi.demo.superawesome.tv:443
[https] parentsapi.kws.superawesome.tv:443
[https] parentsapi.staging.superawesome.tv:443
[https] parentsapp.kws.superawesome.tv:443
[https] parentsapp.staging.superawesome.tv:443
[https] parents.demo.superawesome.tv:443
[https] parents.kws.superawesome.tv:443
[https] parents.staging.superawesome.tv:443
[https] placement-links.dashboard.superawesome.tv:443
[https] preview.superawesome.tv:443
[https] preview-v2.staging.superawesome.tv:443
[https] preview-v2.superawesome.tv:443
[https] prog-filter.superawesome.tv:443
[https] prog-renderer.superawesome.tv:443
[https] reports.dashboard.superawesome.tv:443
[https] sa-mobile-sdk-advertiser-android.superawesome.tv:443
[https] sa-mobile-sdk-advertiser-ios.superawesome.tv:443
[https] sa-mobile-sdk-android.superawesome.tv:443
[https] sa-mobile-sdk-ios.superawesome.tv:443
[https] sa-unity-sdk.superawesome.tv:443
[https] sift-callbacks.superawesome.tv:443
[http] sso.kws.superawesome.tv:80
[http] sso.staging.superawesome.tv:80
[https] sso.kws.superawesome.tv:443
[https] sso.staging.superawesome.tv:443
[https] staging.superawesome.tv:443
[https] stress-test.kws.superawesome.tv:443
[https] studio.superawesome.tv:443
[https] superawesome.tv:443
[https] support.superawesome.tv:443
[http] staging.superawesome.tv:80
[https] take2.api.kws.superawesome.tv:443
[https] take2.cdn.kws.superawesome.tv:443
[https] take2.cpapi.kws.superawesome.tv:443
[https] take2.events.kws.superawesome.tv:443
[https] take2.parentsapi.kws.superawesome.tv:443
[https] take2.parentsapp.kws.superawesome.tv:443
[https] take2.parents.kws.superawesome.tv:443
[https] take2.sso.kws.superawesome.tv:443
[http] stress-test.kws.superawesome.tv:80
[http] studio.superawesome.tv:80
[http] superawesome.tv:80
[http] support.superawesome.tv:80
[https] us-east-1-ads.superawesome.tv:443
[https] us-east-1-innersloth.api.kws.superawesome.tv:443
[https] us-east-1.prog-filter.superawesome.tv:443
[https] vault.superawesome.tv:443
[https] words.superawesome.tv:443
[https] worker.kws.superawesome.tv:443
[https] www.superawesome.tv:443
[http] take2.api.kws.superawesome.tv:80
[http] take2.cdn.kws.superawesome.tv:80
[http] take2.cpapi.kws.superawesome.tv:80
[http] take2.events.kws.superawesome.tv:80
[http] take2.parentsapi.kws.superawesome.tv:80
[http] take2.parentsapp.kws.superawesome.tv:80
[http] take2.parents.kws.superawesome.tv:80
[http] take2.sso.kws.superawesome.tv:80
[http] us-east-1-ads.superawesome.tv:80
[http] us-east-1-innersloth.api.kws.superawesome.tv:80
[http] us-east-1.prog-filter.superawesome.tv:80
[http] vault.superawesome.tv:80
[http] words.superawesome.tv:80
[http] worker.kws.superawesome.tv:80
[http] www.superawesome.tv:80
[trivnet1] auth.superawesome.tv:8200
[trivnet1] vault.superawesome.tv:8200
[trivnet1] words.superawesome.tv:8200
