[cddbp-alt] www.takeawayriders.com:8880
[cisco-aqos] takeawayriders.com:9081
[eli] www.takeawayriders.com:2087
[glrpc] takeawayriders.com:9080
[gnunet] www.takeawayriders.com:2086
[http] at.takeawayriders.com:80
[http] be.takeawayriders.com:80
[http] bg.takeawayriders.com:80
[http] ch.takeawayriders.com:80
[http] de.takeawayriders.com:80
[http] dk.takeawayriders.com:80
[http] es.takeawayriders.com:80
[http] fr.takeawayriders.com:80
[http] he.takeawayriders.com:80
[http] ie.takeawayriders.com:80
[http] il.takeawayriders.com:80
[http] it.takeawayriders.com:80
[http] nl.takeawayriders.com:80
[http] no.takeawayriders.com:80
[http] pl.takeawayriders.com:80
[http-proxy] www.takeawayriders.com:8080
[http] pt.takeawayriders.com:80
[http] ro.takeawayriders.com:80
[https-alt] www.takeawayriders.com:8443
[https] at.takeawayriders.com:443
[https] be.takeawayriders.com:443
[https] bg.takeawayriders.com:443
[https] ch.takeawayriders.com:443
[https] de.takeawayriders.com:443
[https] dk.takeawayriders.com:443
[https] es.takeawayriders.com:443
[https] fr.takeawayriders.com:443
[https] he.takeawayriders.com:443
[https] ie.takeawayriders.com:443
[https] il.takeawayriders.com:443
[https] it.takeawayriders.com:443
[https] nl.takeawayriders.com:443
[https] no.takeawayriders.com:443
[https] pl.takeawayriders.com:443
[https] pt.takeawayriders.com:443
[https] ro.takeawayriders.com:443
[https] takeawayriders.com:443
[https] uk.takeawayriders.com:443
[https] www.takeawayriders.com:443
[http] takeawayriders.com:80
[http] uk.takeawayriders.com:80
[http] www.takeawayriders.com:80
[nbx-ser] www.takeawayriders.com:2095
