[ajp12] sis.telenet.be:8007
[ajp13] sis.telenet.be:8009
[cddbp-alt] press.telenet.be:8880
[cddbp-alt] www.maut.telenet.be:8880
[clearvisn] talks.telenet.be:2052
[clearvisn] www.maut.telenet.be:2052
[eli] press.telenet.be:2087
[eli] talks.telenet.be:2087
[eli] www.maut.telenet.be:2087
[ftp] apache37.cloud.telenet.be:21
[ftp] apache38.cloud.telenet.be:21
[ftp] apache41.cloud.telenet.be:21
[ftp] apache51.cloud.telenet.be:21
[ftp] apache52.cloud.telenet.be:21
[ftp] apache53.cloud.telenet.be:21
[ftp] apache55.cloud.telenet.be:21
[gnunet] press.telenet.be:2086
[gnunet] talks.telenet.be:2086
[gnunet] www.maut.telenet.be:2086
[http] aanrekening-info.telenet.be:80
[http-alt] sis.telenet.be:8000
[http] apache37.cloud.telenet.be:80
[http] apache38.cloud.telenet.be:80
[http] apache41.cloud.telenet.be:80
[http] apache51.cloud.telenet.be:80
[http] apache52.cloud.telenet.be:80
[http] apache53.cloud.telenet.be:80
[http] apache55.cloud.telenet.be:80
[http] api.cloud.telenet.be:80
[http] appareils.telenet.be:80
[http] careers.telenet.be:80
[http] comm-custom.telenet.be:80
[http] comm.telenet.be:80
[http] community.telenet.be:80
[http] connect.telenet.be:80
[http] corporate.telenet.be:80
[http] dealer.telenet.be:80
[http] dev.slr.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] dpi-rules.lab.digitalsecurity.telenet.be:80
[http] dpi-rules.prd.digitalsecurity.telenet.be:80
[http] engine.slr.local.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] enrollmfa.uat.connect.telenet.be:80
[http] e.videocall.telenet.be:80
[http] field.telenet.be:80
[http] formhandler.telenet.be:80
[http] h.telenet.be:80
[http] impersonationapp.connect.telenet.be:80
[http] impersonationapp.dvp.connect.telenet.be:80
[http] impersonationapp.edp.connect.telenet.be:80
[http] impersonationapp.int.connect.telenet.be:80
[http] impersonationapp.lat.connect.telenet.be:80
[http] impersonationapp.mre.connect.telenet.be:80
[http] impersonationapp.prd.connect.telenet.be:80
[http] impersonationapp.sup.connect.telenet.be:80
[http] impersonationapp.trg.connect.telenet.be:80
[http] impersonationapp.uat.connect.telenet.be:80
[http] impersonation.edp.connect.telenet.be:80
[http] jobs.telenet.be:80
[http] klantenservice.telenet.be:80
[http] kotnet.telenet.be:80
[http] local.slr.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] login.edp.connect.telenet.be:80
[http] login.mail.telenet.be:80
[http] login.preprod.connect.telenet.be:80
[http] mail.telenet.be:80
[http] meldingen.telenet.be:80
[http] mijn-46.telenet.be:80
[http] mijn-4.telenet.be:80
[http] mijncms.telenet.be:80
[http] mijn.telenet.be:80
[http] mkt-custom.telenet.be:80
[http] mobileactivation.telenet.be:80
[http] m.telenet.be:80
[http] mybill.telenet.be:80
[http] mybusinessphone.telenet.be:80
[http] myfreephonebusiness.telenet.be:80
[http] mysecuritypackpro.telenet.be:80
[http] mysettings.cloud.telenet.be:80
[http] mysql06.cloud.telenet.be:80
[http] mywifibusiness.telenet.be:80
[http] netaanleg.telenet.be:80
[http] networkmsg.telenet.be:80
[http] oauth.telenet.be:80
[http] ogone-resources.uat.telenet.be:80
[http] onlinesupport.telenet.be:80
[http] ordertool.telenet.be:80
[http] pmm.telenet.be:80
[http] portalssl.connectuat.telenet.be:80
[http] press.telenet.be:80
[http-proxy] press.telenet.be:8080
[http-proxy] www.maut.telenet.be:8080
[http] reroutingmngr.telenet.be:80
[https] aanrekening-info.telenet.be:443
[http] safespot.telenet.be:80
[https] agent-gateway.lab.digitalsecurity.telenet.be:443
[https-alt] aanrekening-info.telenet.be:8443
[https-alt] formhandler.telenet.be:8443
[https-alt] horizonapps.connect.telenet.be:8443
[https-alt] horizonapps.uat.connect.telenet.be:8443
[https-alt] horizonvdi.connect.telenet.be:8443
[https-alt] mijn-46.telenet.be:8443
[https-alt] mijn-4.telenet.be:8443
[https-alt] mijn.telenet.be:8443
[https-alt] mobileactivation.telenet.be:8443
[https-alt] mybill.telenet.be:8443
[https-alt] myfreephonebusiness.telenet.be:8443
[https-alt] mysecuritypackpro.telenet.be:8443
[https-alt] mywifibusiness.telenet.be:8443
[https-alt] pmm.telenet.be:8443
[https-alt] press.telenet.be:8443
[https-alt] speedtest.telenet.be:8443
[https-alt] talks.telenet.be:8443
[https-alt] telegate.telenet.be:8443
[https-alt] tip.telenet.be:8443
[https-alt] uag.connect.telenet.be:8443
[https-alt] wifiportal.telenet.be:8443
[https-alt] www.maut.telenet.be:8443
[https] apache37.cloud.telenet.be:443
[https] apache38.cloud.telenet.be:443
[https] apache41.cloud.telenet.be:443
[https] apache51.cloud.telenet.be:443
[https] apache52.cloud.telenet.be:443
[https] apache53.cloud.telenet.be:443
