[bgp] vote.tempus.finance:179
[blackice-alerts] vote.tempus.finance:8082
[cddbp-alt] docs.tempus.finance:8880
[eli] docs.tempus.finance:2087
[gnunet] docs.tempus.finance:2086
[http] app.tempus.finance:80
[http] discord.tempus.finance:80
[http] docs.tempus.finance:80
[http] forum.tempus.finance:80
[http] github.tempus.finance:80
[http] medium.tempus.finance:80
[http] network.tempus.finance:80
[http-proxy] docs.tempus.finance:8080
[https-alt] docs.tempus.finance:8443
[https] app.tempus.finance:443
[https] discord.tempus.finance:443
[https] docs.tempus.finance:443
[https] forum.tempus.finance:443
[https] github.tempus.finance:443
[https] medium.tempus.finance:443
[https] network.tempus.finance:443
[https] storybook.tempus.finance:443
[https] testnet.tempus.finance:443
[https] testnet-v2.tempus.finance:443
[http] storybook.tempus.finance:80
[https] twitter.tempus.finance:443
[https] vote.tempus.finance:443
[http] tempus.finance:80
[http] testnet.tempus.finance:80
[http] testnet-v2.tempus.finance:80
[http] twitter.tempus.finance:80
[http] vote.tempus.finance:80
[http] www.tempus.finance:80
[infowave] docs.tempus.finance:2082
[knetd] docs.tempus.finance:2053
[radsec] docs.tempus.finance:2083
[rtmp] vote.tempus.finance:1935
[ssh] network.tempus.finance:22
[ssh] vote.tempus.finance:22
[unknown] vote.tempus.finance:8084
[unknown] vote.tempus.finance:8085
