[domain] referral.tesla.com:53
[filenet-tms] xapps.tesla.com:32768
[filenet-tms] xmail.tesla.com:32768
[ftp] referral.tesla.com:21
[hosts2-ns] xapps.tesla.com:81
[hosts2-ns] xmail.tesla.com:81
[http] 3.tesla.com:80
[http] akamai-apigateway-automation.tesla.com:80
[http] akamai-apigateway-bender.tesla.com:80
[http] akamai-apigateway-captiveunderwriting.tesla.com:80
[http] akamai-apigateway-crawford-prd.tesla.com:80
[http] akamai-apigateway-crawford-stg.tesla.com:80
[http] akamai-apigateway-deliveryopsapi1.tesla.com:80
[http] akamai-apigateway-deliveryopsapi.tesla.com:80
[http] akamai-apigateway-deliveryopsvitu.tesla.com:80
[http] akamai-apigateway-dev-captiveunderwriting.tesla.com:80
[http] akamai-apigateway-dev-warptmsapiserver.tesla.com:80
[http] akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com:80
[http] akamai-apigateway-ehs-stg.tesla.com:80
[http] akamai-apigateway-ehs.tesla.com:80
[http] akamai-apigateway-einvoicing.tesla.com:80
[http] akamai-apigateway-finplateng-defi.tesla.com:80
[http] akamai-apigateway-finplateng-routeone.tesla.com:80
[http] akamai-apigateway-finplateng.tesla.com:80
[http] akamai-apigateway-finplat-prd.tesla.com:80
[http] akamai-apigateway-finplat-stg.tesla.com:80
[http] akamai-apigateway-fta.tesla.com:80
[http] akamai-apigateway-inventorytxnextapi.tesla.com:80
[http] akamai-apigateway-logisticsratesapi.tesla.com:80
[http] akamai-apigateway-materials.tesla.com:80
[http] akamai-apigateway-mfs-gfb-stg.tesla.com:80
[http] akamai-apigateway-mfs-supplier.tesla.com:80
[http] akamai-apigateway-mfs-supplier-uat.tesla.com:80
[http] akamai-apigateway-ops-warp3pl.tesla.com:80
[http] akamai-apigateway-packaging2.tesla.com:80
[http] akamai-apigateway-payment.tesla.com:80
[http] akamai-apigateway-prd-global-deliveryopsapi.tesla.com:80
[http] akamai-apigateway-procuretopayapi.tesla.com:80
[http] akamai-apigateway-profileapi.tesla.com:80
[http] akamai-apigateway-qa-captiveunderwriting.tesla.com:80
[http] akamai-apigateway-scraprecycle.tesla.com:80
[http] akamai-apigateway-shipmentplanningapi.tesla.com:80
[http] akamai-apigateway-stg2-deliveryopsapi.tesla.com:80
[http] akamai-apigateway-stg2-global-deliveryopsapi.tesla.com:80
[http] akamai-apigateway-stg-bender.tesla.com:80
[http] akamai-apigateway-stg-captiveunderwriting.tesla.com:80
[http] akamai-apigateway-stg-deliveryopsapi1.tesla.com:80
[http] akamai-apigateway-stg-deliveryopsapi.tesla.com:80
[http] akamai-apigateway-stg-deliveryopsvitu.tesla.com:80
[http] akamai-apigateway-stg-einvoicing.tesla.com:80
[http] akamai-apigateway-stg-finplateng-defi.tesla.com:80
[http] akamai-apigateway-stg-finplateng-routeone.tesla.com:80
[http] akamai-apigateway-stg-finplateng.tesla.com:80
[http] akamai-apigateway-stg-fta.tesla.com:80
[http] akamai-apigateway-stg-global-deliveryopsapi.tesla.com:80
[http] akamai-apigateway-stg-inventorytxnextapi.tesla.com:80
[http] akamai-apigateway-stg-materials.tesla.com:80
[http] akamai-apigateway-stg-ops-warp3pl.tesla.com:80
[http] akamai-apigateway-stg-packaging2.tesla.com:80
[http] akamai-apigateway-stg-payment.tesla.com:80
[http] akamai-apigateway-stg-procuretopayapi.tesla.com:80
[http] akamai-apigateway-stg-profileapi.tesla.com:80
[http] akamai-apigateway-stg-sandbox-automation.tesla.com:80
[http] akamai-apigateway-stg-shipmentplanningapi.tesla.com:80
[http] akamai-apigateway-stg-teslarpsapi.tesla.com:80
[http] akamai-apigateway-stg-translationpipeline.tesla.com:80
[http] akamai-apigateway-stg-vendorpartsapi.tesla.com:80
[http] akamai-apigateway-stg-warp3pl.tesla.com:80
[http] akamai-apigateway-stg-warpassetapi.tesla.com:80
[http] akamai-apigateway-stg-warpcxml.tesla.com:80
[http] akamai-apigateway-stg-warpdashboardapi.tesla.com:80
[http] akamai-apigateway-stg-warpedi.tesla.com:80
[http] akamai-apigateway-stg-warptmsapiserver.tesla.com:80
[http] akamai-apigateway-stg-warptmsapiserver-upgrade.tesla.com:80
[http] akamai-apigateway-teslarpsapi.tesla.com:80
[http] akamai-apigateway-translationpipeline.tesla.com:80
[http] akamai-apigateway-uat-materials.tesla.com:80
[http] akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com:80
[http] akamai-apigateway-vendorpartsapi.tesla.com:80
[http] akamai-apigateway-warp3pl.tesla.com:80
[http] akamai-apigateway-warpassetapi.tesla.com:80
[http] akamai-apigateway-warpcxml.tesla.com:80
[http] akamai-apigateway-warpdashboardapi.tesla.com:80
[http] akamai-apigateway-warpedi.tesla.com:80
[http] akamai-apigateway-warptmsapiserver.tesla.com:80
[http] akamai-apigateway-warptmsapiserver-upgrade.tesla.com:80
[http] akamai-apigateway-warptqpapi.tesla.com:80
[http] akamai-apigateway-zip3-suppliersequence.tesla.com:80
[http] api-firebolt-dev.tesla.com:80
[http] api-firebolt-stage.tesla.com:80
[http] api-firebolt.tesla.com:80
[http] apps.tesla.com:80
[http] aurora-ordering-ext-qa.tesla.com:80
[http] aurora-ordering-ext.tesla.com:80
[http] auth-global-stage.tesla.com:80
[http] auth-global.tesla.com:80
[http] auth.tesla.com:80
[http] autobidder.powerhub.energy.tesla.com:80
[http] autodiscover.tesla.com:80
[http] billing.tesla.com:80
[http] bi.tesla.com:80
[http] bolt.tesla.com:80
[http] business-ui-ownership.tesla.com:80
[http] cdn-design.tesla.com:80
[http] cdns-content.tesla.com:80
[http] checkout-ui-assets.tesla.com:80
[http] cld-ec.tesla.com:80
[http] click.emails.tesla.com:80
[http] click.email.tesla.com:80
[http] courses.tesla.com:80
[http] dataviz.tesla.com:80
[http] digitalassets-energy.tesla.com:80
[http] digitalassets-learning.tesla.com:80
[http] digitalassets-shop.tesla.com:80
[http] digitalassets.tesla.com:80
[http] eaa-setup.tesla.com:80
[http] edr.tesla.com:80
[http] ehs.tesla.com:80
[http] einvoicing.tesla.com:80
[http] energydesk.tesla.com:80
[http] envoy-finplat-stg.tesla.com:80
[http] envoy-finplat-sunlight.tesla.com:80
[http] envoy-partnerleadsharing.tesla.com:80
[http] envoy-partnertasks.tesla.com:80
[http] epcapi.tesla.com:80
[http] epc.tesla.com:80
[http] errlog-stage.tesla.com:80
[http] errlog.tesla.com:80
[http] events.tesla.com:80
[http] external-sandbox-automation.tesla.com:80
[http] financial-gw-stg.tesla.com:80
[http] financial-gw.tesla.com:80
[http] finops.tesla.com:80
[http] forums.tesla.com:80
[http] gridlogic.energy.tesla.com:80
[http] grid.tesla.com:80
[http] image-emails.tesla.com:80
[http] image.emails.tesla.com:80
[http] image.email.tesla.com:80
[http] inside.tesla.com:80
[http] installations-ext-api.tesla.com:80
[http] inventory-assets.tesla.com:80
[http] invest.tesla.com:80
[http] link.qa.tesla.com:80
[http] links.tesla.com:80
[http] link.tesla.com:80
[http] livestreamapi.tesla.com:80
[http] livestreamapi-test.tesla.com:80
[http] livestream.tesla.com:80
[http] location-services-prd.tesla.com:80
[http] logcollection.tesla.com:80
[http] marketing.tesla.com:80
[http] mfa-reset.tesla.com:80
[http] mfa-stage.tesla.com:80
[http] mfa.tesla.com:80
[http] mfs-supplier.tesla.com:80
[http] mfs-supplier-uat.tesla.com:80
[http] mobile.tesla.com:80
[http] myapps.tesla.com:80
[http] onboard.tesla.com:80
[http] origin-apps.tesla.com:80
[http] origin-inside.tesla.com:80
[http] origin-mobile.tesla.com:80
[http] origin-sspr.tesla.com:80
[http] origin-www-auth.tesla.com:80
[http] os.tesla.com:80
[http] ownership.tesla.com:80
[http] pages.emails.tesla.com:80
[http] pages.email.tesla.com:80
[http] partnerleadsharing.tesla.com:80
[http] partners.tesla.com:80
[http] powerhub.energy.tesla.com:80
[http] profile.tesla.com:80
[http-proxy] forums.tesla.com:8080
[http-proxy] xapps.tesla.com:8080
[http-proxy] xmail.tesla.com:8080
[http] pub.email.tesla.com:80
[http] ranger-api.tesla.com:80
