[cddbp-alt] www.help.tinder.com:8880
[clearvisn] www.help.tinder.com:2052
[eli] www.help.tinder.com:2087
[gnunet] www.help.tinder.com:2086
[http] 2076032.alerts.tinder.com:80
[http] 2076032.alerts.tinder.com.tinder.com:80
[http] 2076032.newsletter.tinder.com:80
[http] 2076032.notifications.tinder.com:80
[http] 2076032.welcome.tinder.com:80
[http] 2116317.welcome.tinder.com:80
[http] 2116321.notifications.tinder.com:80
[http] 2116324.newsletter.tinder.com:80
[http] 4123565.mail.tinder.com:80
[http] 4123565.tinder.com:80
[http] abmail.tinder.com:80
[http] emoji.tinder.com:80
[http] go.tinder.com:80
[http] invite.tinder.com:80
[http] link.mail.tinder.com:80
[http] link.tinder.com:80
[http] link.updates.tinder.com:80
[http] lite.tinder.com:80
[http] open.tinder.com:80
[http] party.tinder.com:80
[http] policies.tinder.com:80
[http-proxy] www.help.tinder.com:8080
[https] 2076032.alerts.tinder.com:443
[https] 2076032.alerts.tinder.com.tinder.com:443
[https] 2076032.newsletter.tinder.com:443
[https] 2076032.notifications.tinder.com:443
[https] 2076032.welcome.tinder.com:443
[https] 2116317.welcome.tinder.com:443
[https] 2116321.notifications.tinder.com:443
[https] 2116324.newsletter.tinder.com:443
[https] 4123565.mail.tinder.com:443
[https] 4123565.tinder.com:443
[https] abmail.tinder.com:443
[https-alt] www.help.tinder.com:8443
[https] emoji.tinder.com:443
[https] go.tinder.com:443
[https] invite.tinder.com:443
[https] link.mail.tinder.com:443
[https] link.tinder.com:443
[https] link.updates.tinder.com:443
[https] lite.tinder.com:443
[https] open.tinder.com:443
[https] party.tinder.com:443
[https] policies.tinder.com:443
[https] polls.tinder.com:443
[https] staging.tinder.com:443
[https] swipelife.tinder.com:443
[https] swipenight.tinder.com:443
[http] staging.tinder.com:80
[https] tech.tinder.com:443
[https] tinder.com:443
[http] swipelife.tinder.com:80
[http] swipenight.tinder.com:80
[https] www.help.tinder.com:443
[https] www.swipenight.tinder.com:443
[https] www.tinder.com:443
[http] tech.tinder.com:80
[http] tinder.com:80
[http] www.help.tinder.com:80
[http] www.swipenight.tinder.com:80
[http] www.tinder.com:80
[infowave] www.help.tinder.com:2082
[radsec] www.help.tinder.com:2083
