[3d-nfsd] touchtechpayments.com:2323
[3exmp] touchtechpayments.com:5221
[802-11-iapp] touchtechpayments.com:3517
[914c-g] touchtechpayments.com:211
[abarsd] touchtechpayments.com:8402
[abyss] touchtechpayments.com:9999
[accessbuilder] touchtechpayments.com:888
[acc-raid] touchtechpayments.com:2800
[acmsoda] touchtechpayments.com:6969
[active-net] touchtechpayments.com:3322
[active-net] touchtechpayments.com:3323
[active-net] touchtechpayments.com:3324
[active-net] touchtechpayments.com:3325
[activesync] touchtechpayments.com:5679
[admdog] touchtechpayments.com:5101
[admd] touchtechpayments.com:5100
[admeng] touchtechpayments.com:5102
[adobeserver-1] touchtechpayments.com:1102
[adobeserver-3] touchtechpayments.com:3703
[aeroflight-ads] touchtechpayments.com:1218
[afp] touchtechpayments.com:548
[afrog] touchtechpayments.com:1042
[afs3-bos] touchtechpayments.com:7007
[afs3-callback] touchtechpayments.com:7001
[afs3-fileserver] touchtechpayments.com:7000
[afs3-kaserver] touchtechpayments.com:7004
[afs3-prserver] touchtechpayments.com:7002
[agentx] touchtechpayments.com:705
[airport-admin] touchtechpayments.com:5009
[ajp12] touchtechpayments.com:8007
[ajp13] touchtechpayments.com:8009
[alias] touchtechpayments.com:1187
[amandaidx] touchtechpayments.com:10082
[amiganetfs] touchtechpayments.com:2100
[ams] touchtechpayments.com:1037
[amt-esd-prot] touchtechpayments.com:1082
[amt-soap-https] touchtechpayments.com:16993
[amt-soap-http] touchtechpayments.com:16992
[anet] touchtechpayments.com:212
[ansoft-lm-1] touchtechpayments.com:1083
[ansoft-lm-2] touchtechpayments.com:1084
[ansyslmd] touchtechpayments.com:1055
[aol] touchtechpayments.com:5190
[apc-2160] touchtechpayments.com:2160
[apc-2260] touchtechpayments.com:2260
[apc-agent] touchtechpayments.com:2161
[apcupsd] touchtechpayments.com:3551
[apex-mesh] touchtechpayments.com:912
[apocd] touchtechpayments.com:3809
[appleqtc] touchtechpayments.com:458
[apple-sasl] touchtechpayments.com:3659
[apple-xsrvr-admin] touchtechpayments.com:625
[appserv-http] touchtechpayments.com:4848
[ardus-mtrns] touchtechpayments.com:1117
[arepa-cas] touchtechpayments.com:3030
[asipregistry] touchtechpayments.com:687
[asip-webadmin] touchtechpayments.com:311
[asprovatalk] touchtechpayments.com:1079
[asr] touchtechpayments.com:7800
[asterix] touchtechpayments.com:8600
[availant-mgr] touchtechpayments.com:1122
[avocent-adsap] touchtechpayments.com:3871
[avocentkvm] touchtechpayments.com:2068
[avocent-proxy] touchtechpayments.com:1078
[avsecuremgmt] touchtechpayments.com:3211
[avt-profile-1] touchtechpayments.com:5004
[backupexec] touchtechpayments.com:6101
[backup-express] touchtechpayments.com:6123
[barracuda-bbs] touchtechpayments.com:5120
