[ansoft-lm-2] gtcp-dc.twitter.com:1084
[blackice-icecap] gtcp-dc.twitter.com:8081
[blackice-icecap] gtcp-na.twitter.com:8081
[blackice-icecap] gtcp.twitter.com:8081
[blackice-icecap] gton.twitter.com:8081
[ctf] gtcp-dc.twitter.com:84
[dnp] gtcp-dc.twitter.com:20000
[domain] ns-twt.twitter.com:53
[d-s-n] gtcp-dc.twitter.com:8086
[epp] gtcp-dc.twitter.com:700
[ff-annunc] gtcp-dc.twitter.com:1089
[http] 2010.twitter.com:80
[http] 2011.twitter.com:80
[http] 2013.twitter.com:80
[http] 2014.twitter.com:80
[http] 2015.twitter.com:80
[http] 2chainz.twitter.com:80
[http] 30secondstomars.twitter.com:80
[http] 6nations.twitter.com:80
[http] about-staging.twitter.com:80
[http] about.twitter.com:80
[http] aboveandbeyond.twitter.com:80
[http] acmawards.twitter.com:80
[http] ac.twitter.com:80
[http] ads-api-sandbox.twitter.com:80
[http] ads-api.twitter.com:80
[http] ads-beta.twitter.com:80
[http] ads-bidder-api.twitter.com:80
[http] ads-dev.twitter.com:80
[http] ads-staging.twitter.com:80
[http] ads.twitter.com:80
[http] advertising.twitter.com:80
[http] aem-author-dev.twitter.com:80
[http] afl.twitter.com:80
[http] amplify.twitter.com:80
[http] analyticsbeta.twitter.com:80
[http] analytics.twitter.com:80
[http] anywhere.twitter.com:80
[http] api-0-4-0.twitter.com:80
[http] api-0-4-3.twitter.com:80
[http] api-0-4-4.twitter.com:80
[http] api-0-4-6.twitter.com:80
[http] api-0-5-0.twitter.com:80
[http] api-1-0-0.twitter.com:80
[http] api-20-0-0.twitter.com:80
[http] api-21-0-0.twitter.com:80
[http] api-23-0-0.twitter.com:80
[http] api-24-0-0.twitter.com:80
[http] api-26-0-0.twitter.com:80
[http] api-28-0-0.twitter.com:80
[http] api2.twitter.com:80
[http] api-30-0-0.twitter.com:80
[http] api-3-0-0.twitter.com:80
[http] api-33-0-0.twitter.com:80
[http] api-34-0-0.twitter.com:80
[http] api-35-0-0.twitter.com:80
[http] api-36-0-0.twitter.com:80
[http] api-37-0-0.twitter.com:80
[http] api-38-0-0.twitter.com:80
[http] api-39-4-5.twitter.com:80
[http] api-40-0-0.twitter.com:80
[http] api-41-0-0.twitter.com:80
[http] api-42-0-0.twitter.com:80
[http] api-43-0-0.twitter.com:80
[http] api-45-0-0.twitter.com:80
[http] api-46-0-0.twitter.com:80
[http] api4.twitter.com:80
[http] apistatus.twitter.com:80
[http] api-stream.twitter.com:80
[http] api-test.twitter.com:80
[http] api.twitter.com:80
[http] apiwiki.twitter.com:80
[http] appleevent.twitter.com:80
[http] apple.twitter.com:80
[http] apps.twitter.com:80
[http] arsenal.twitter.com:80
[http] arthouse.twitter.com:80
[http] askobama.twitter.com:80
[http] assets0.twitter.com:80
[http] assets1.twitter.com:80
[http] assets2.twitter.com:80
[http] assets3-backup.twitter.com:80
[http] assets3.twitter.com:80
[http] assets4.twitter.com:80
[http] atl-api.twitter.com:80
[http] barstool.twitter.com:80
[http] battlegrounds.twitter.com:80
[http] bbcelection.twitter.com:80
[http] bbmas.twitter.com:80
[http] bestoftweets.twitter.com:80
[http] bet.twitter.com:80
[http] birdseye.twitter.com:80
[http] biz.twitter.com:80
[http] blog.de.twitter.com:80
[http] blog-dev.twitter.com:80
[http] blog.kr.twitter.com:80
[http] blog.pt.twitter.com:80
[http] blog.ru.twitter.com:80
[http] blog-staging.twitter.com:80
[http] blog.tr.twitter.com:80
[http] blog.twitter.com:80
[http] blog.uk.twitter.com:80
[http] bloombergdaybreak.twitter.com:80
[http] bloombergtechnology.twitter.com:80
[http] bloomberg.twitter.com:80
[http] boxing.twitter.com:80
[http] branch.twitter.com:80
[http] brand-dev.twitter.com:80
[http] brandhub.twitter.com:80
[http] brand.twitter.com:80
[http] bravo.twitter.com:80
[http] breakingnews.twitter.com:80
[http] btsportscore.twitter.com:80
[http] bullriding.twitter.com:80
[http] burberry.twitter.com:80
[http] business-dev.twitter.com:80
[http] business-staging.twitter.com:80
[http] business.twitter.com:80
[http] buzzfeed.twitter.com:80
[http] calendar.twitter.com:80
[http] caps-staging.twitter.com:80
[http] caps.twitter.com:80
[http] cards-dev.twitter.com:80
[http] cards-frame.twitter.com:80
[http] cards-staging.twitter.com:80
[http] cards.twitter.com:80
[http] careers-dev.twitter.com:80
[http] careers.twitter.com:80
[http] cdn.syndication.twitter.com:80
[http] ces.twitter.com:80
[http] cfl.twitter.com:80
[http] charlottesville.twitter.com:80
[http] cheddar.twitter.com:80
[http] chirp.twitter.com:80
[http] churchilldowns.twitter.com:80
[http] circuitbreaker.twitter.com:80
[http] claws.twitter.com:80
[http] coachella.twitter.com:80
[http] comiccon.twitter.com:80
[http] comicon.twitter.com:80
[http] concacaf.twitter.com:80
[http] concon-staging.twitter.com:80
[http] concon.twitter.com:80
[http] content.twitter.com:80
[http] converse.twitter.com:80
[http] cortex-dev.twitter.com:80
[http] cortex-staging.twitter.com:80
[http] cortex.twitter.com:80
[http] covid19.twitter.com:80
[http] creative.twitter.com:80
[http] dashboard.twitter.com:80
[http] dasient.twitter.com:80
[http] data-api.twitter.com:80
[http] data-dev.twitter.com:80
[http] data-staging.twitter.com:80
[http] data.twitter.com:80
[http] dc-api.twitter.com:80
[http] deadlineday.twitter.com:80
[http] debates.twitter.com:80
[http] debate.twitter.com:80
[http] depechemode.twitter.com:80
[http] developer-dev.twitter.com:80
[http] developer-staging.twitter.com:80
[http] developers.twitter.com:80
[http] developer.twitter.com:80
[http] directresponse.twitter.com:80
[http] discover.twitter.com:80
[http] discovery.twitter.com:80
[http] diversity.twitter.com:80
