[3d-nfsd] tourdefrance.unibet.com:2323
[3exmp] tourdefrance.unibet.com:5221
[802-11-iapp] tourdefrance.unibet.com:3517
[914c-g] tourdefrance.unibet.com:211
[abarsd] tourdefrance.unibet.com:8402
[abyss] tourdefrance.unibet.com:9999
[accessbuilder] tourdefrance.unibet.com:888
[acc-raid] tourdefrance.unibet.com:2800
[acmsoda] tourdefrance.unibet.com:6969
[active-net] tourdefrance.unibet.com:3322
[active-net] tourdefrance.unibet.com:3323
[active-net] tourdefrance.unibet.com:3324
[active-net] tourdefrance.unibet.com:3325
[activesync] tourdefrance.unibet.com:5679
[admdog] tourdefrance.unibet.com:5101
[admd] tourdefrance.unibet.com:5100
[admeng] tourdefrance.unibet.com:5102
[adobeserver-1] tourdefrance.unibet.com:1102
[adobeserver-3] tourdefrance.unibet.com:3703
[afp] tourdefrance.unibet.com:548
[afrog] tourdefrance.unibet.com:1042
[afs3-bos] tourdefrance.unibet.com:7007
[afs3-callback] tourdefrance.unibet.com:7001
[afs3-fileserver] tourdefrance.unibet.com:7000
[afs3-kaserver] tourdefrance.unibet.com:7004
[afs3-prserver] tourdefrance.unibet.com:7002
[agentx] tourdefrance.unibet.com:705
[airport-admin] tourdefrance.unibet.com:5009
[ajp12] tourdefrance.unibet.com:8007
[ajp13] tourdefrance.unibet.com:8009
[alias] tourdefrance.unibet.com:1187
[amandaidx] tourdefrance.unibet.com:10082
[amiganetfs] tourdefrance.unibet.com:2100
[ams] tourdefrance.unibet.com:1037
[amt-esd-prot] tourdefrance.unibet.com:1082
[amt-soap-https] tourdefrance.unibet.com:16993
[amt-soap-http] tourdefrance.unibet.com:16992
[anet] tourdefrance.unibet.com:212
[ansoft-lm-1] tourdefrance.unibet.com:1083
[ansoft-lm-2] tourdefrance.unibet.com:1084
[ansyslmd] tourdefrance.unibet.com:1055
[aol] tourdefrance.unibet.com:5190
[apc-2160] tourdefrance.unibet.com:2160
[apc-2260] tourdefrance.unibet.com:2260
[apc-agent] tourdefrance.unibet.com:2161
[apcupsd] tourdefrance.unibet.com:3551
[apex-mesh] tourdefrance.unibet.com:912
[apocd] tourdefrance.unibet.com:3809
[appleqtc] tourdefrance.unibet.com:458
[apple-sasl] tourdefrance.unibet.com:3659
[apple-xsrvr-admin] tourdefrance.unibet.com:625
[appserv-http] tourdefrance.unibet.com:4848
[ardus-mtrns] tourdefrance.unibet.com:1117
[arepa-cas] tourdefrance.unibet.com:3030
[asipregistry] tourdefrance.unibet.com:687
[asip-webadmin] tourdefrance.unibet.com:311
[asprovatalk] tourdefrance.unibet.com:1079
[asr] tourdefrance.unibet.com:7800
[asterix] tourdefrance.unibet.com:8600
[availant-mgr] tourdefrance.unibet.com:1122
[avocentkvm] tourdefrance.unibet.com:2068
[avocent-proxy] tourdefrance.unibet.com:1078
[avsecuremgmt] tourdefrance.unibet.com:3211
[avt-profile-1] tourdefrance.unibet.com:5004
[backupexec] tourdefrance.unibet.com:6101
[backup-express] tourdefrance.unibet.com:6123
[barracuda-bbs] tourdefrance.unibet.com:5120
[beorl] tourdefrance.unibet.com:5633
[beserver-msg-q] tourdefrance.unibet.com:3527
[bex-xr] tourdefrance.unibet.com:15660
[bfd-control] tourdefrance.unibet.com:3784
[bgmp] tourdefrance.unibet.com:264
[bgpd] tourdefrance.unibet.com:2605
[bgp] tourdefrance.unibet.com:179
[bigbrother] tourdefrance.unibet.com:1984
[biotic] tourdefrance.unibet.com:5087
[bitcoin] tourdefrance.unibet.com:8333
[bittorrent-tracker] tourdefrance.unibet.com:6881
[blackice-alerts] tourdefrance.unibet.com:8082
[blackice-icecap] tourdefrance.unibet.com:8081
[blp3] tourdefrance.unibet.com:8292
[bnetgame] tourdefrance.unibet.com:1119
[boinc] tourdefrance.unibet.com:1043
[bridgecontrol] tourdefrance.unibet.com:1073
[brvread] tourdefrance.unibet.com:1054
[bsquare-voip] tourdefrance.unibet.com:1071
[btrieve] tourdefrance.unibet.com:3351
[btx] tourdefrance.unibet.com:20005
[bvcontrol] tourdefrance.unibet.com:1236
[bvtsonar] tourdefrance.unibet.com:1149
[cadlock] tourdefrance.unibet.com:1000
[caerpc] tourdefrance.unibet.com:42510
[caicci] tourdefrance.unibet.com:1721
[caids-sensor] tourdefrance.unibet.com:1192
[cajo-discovery] tourdefrance.unibet.com:1198
[capioverlan] tourdefrance.unibet.com:1147
[cardax] tourdefrance.unibet.com:1072
[caspssl] tourdefrance.unibet.com:1131
[casp] tourdefrance.unibet.com:1130
[catchpole] tourdefrance.unibet.com:1185
[cba8] tourdefrance.unibet.com:9593
[cbt] tourdefrance.unibet.com:7777
[cce4x] tourdefrance.unibet.com:12000
[ccproxy-ftp] tourdefrance.unibet.com:2121
[ccproxy-http] tourdefrance.unibet.com:808
[cdfunc] tourdefrance.unibet.com:2045
[ceph] tourdefrance.unibet.com:3300
[cgms] tourdefrance.unibet.com:3003
[chargen] tourdefrance.unibet.com:19
[ci3-software-1] tourdefrance.unibet.com:1301
[cisco-aqos] tourdefrance.unibet.com:9081
[cisco-sccp] tourdefrance.unibet.com:2000
[cisco-tdp] tourdefrance.unibet.com:711
[citrix-ica] tourdefrance.unibet.com:1494
[clariion-evr01] tourdefrance.unibet.com:6389
[cmip-man] tourdefrance.unibet.com:163
[cm] tourdefrance.unibet.com:5910
[cnrprotocol] tourdefrance.unibet.com:1096
[cognex-insight] tourdefrance.unibet.com:1069
[coldfusion-auth] tourdefrance.unibet.com:44442
[coldfusion-auth] tourdefrance.unibet.com:44443
[commplex-link] tourdefrance.unibet.com:5001
[compaqdiag] tourdefrance.unibet.com:2301
[compaqdiag] tourdefrance.unibet.com:49400
[compaq-https] tourdefrance.unibet.com:2381
[compressnet] tourdefrance.unibet.com:3
[condor] tourdefrance.unibet.com:9618
[conf] tourdefrance.unibet.com:2008
[connection] tourdefrance.unibet.com:2607
[corba-iiop] tourdefrance.unibet.com:683
[corbaloc] tourdefrance.unibet.com:2809
[cpdlc] tourdefrance.unibet.com:5911
[cplscrambler-al] tourdefrance.unibet.com:1088
[cplscrambler-in] tourdefrance.unibet.com:1087
[cplscrambler-lg] tourdefrance.unibet.com:1086
[csd-mgmt-port] tourdefrance.unibet.com:3071
[cslistener] tourdefrance.unibet.com:9000
[cspmlockmgr] tourdefrance.unibet.com:1272
[ctf] tourdefrance.unibet.com:84
[cvd] tourdefrance.unibet.com:8400
[cvspserver] tourdefrance.unibet.com:2401
[dandv-tester] tourdefrance.unibet.com:3889
[danf-ak2] tourdefrance.unibet.com:1041
[daytime] tourdefrance.unibet.com:13
[dc] tourdefrance.unibet.com:2001
[dcutility] tourdefrance.unibet.com:1044
[ddrepl] tourdefrance.unibet.com:4126
[ddt] tourdefrance.unibet.com:1052
[dec-notes] tourdefrance.unibet.com:3333
[dectalk] tourdefrance.unibet.com:2007
[deslogind] tourdefrance.unibet.com:3006
[deslogin] tourdefrance.unibet.com:2005
[deslogin] tourdefrance.unibet.com:3005
[device2] tourdefrance.unibet.com:2030
[device] tourdefrance.unibet.com:801
