[ansoft-lm-2] gc-origin.verizondigitalmedia.com:1084
[blackice-icecap] gc-origin.verizondigitalmedia.com:8081
[ctf] gc-origin.verizondigitalmedia.com:84
[dnp] gc-origin.verizondigitalmedia.com:20000
[domain] ns1.verizondigitalmedia.com:53
[domain] ns3.verizondigitalmedia.com:53
[domain] ns4.verizondigitalmedia.com:53
[d-s-n] gc-origin.verizondigitalmedia.com:8086
[epp] gc-origin.verizondigitalmedia.com:700
[ff-annunc] gc-origin.verizondigitalmedia.com:1089
[http] adn-origin.verizondigitalmedia.com:80
[http] adn-vzgoweb.verizondigitalmedia.com:80
[http] broadcast.verizondigitalmedia.com:80
[http] click.hello.verizondigitalmedia.com:80
[http] commerce.verizondigitalmedia.com:80
[http] demos.verizondigitalmedia.com:80
[http] dev-www.verizondigitalmedia.com:80
[http] eng-staging.verizondigitalmedia.com:80
[http] eng.verizondigitalmedia.com:80
[http] files.verizondigitalmedia.com:80
[http] gc-origin.verizondigitalmedia.com:80
[http] go.verizondigitalmedia.com:80
[http] image.hello.verizondigitalmedia.com:80
[http] images.verizondigitalmedia.com:80
[http] info.verizondigitalmedia.com:80
[http] i.verizondigitalmedia.com:80
[http] jobs.verizondigitalmedia.com:80
[http] my.verizondigitalmedia.com:80
[http] nxt.verizondigitalmedia.com:80
[http] perf.verizondigitalmedia.com:80
[http-proxy] gc-origin.verizondigitalmedia.com:8080
[http] research-stage.verizondigitalmedia.com:80
[http] research-staging.verizondigitalmedia.com:80
[http] research.verizondigitalmedia.com:80
[http] rss.verizondigitalmedia.com:80
[http] s0.verizondigitalmedia.com:80
[http] s1.verizondigitalmedia.com:80
[http] s2.verizondigitalmedia.com:80
[http] s3.verizondigitalmedia.com:80
[http] s4.verizondigitalmedia.com:80
[http] s5.verizondigitalmedia.com:80
[https] adn-origin.verizondigitalmedia.com:443
[https] adn-vzgoweb.verizondigitalmedia.com:443
[http] sales.verizondigitalmedia.com:80
[https] broadcast.verizondigitalmedia.com:443
[https] click.hello.verizondigitalmedia.com:443
[https] commerce.verizondigitalmedia.com:443
[https] demos.verizondigitalmedia.com:443
[https] dev-www.verizondigitalmedia.com:443
[https] eng-staging.verizondigitalmedia.com:443
[https] eng.verizondigitalmedia.com:443
[https] files.verizondigitalmedia.com:443
[https] gc-origin.verizondigitalmedia.com:443
[https] go.verizondigitalmedia.com:443
[https] image.hello.verizondigitalmedia.com:443
[https] images.verizondigitalmedia.com:443
[https] info.verizondigitalmedia.com:443
[https] i.verizondigitalmedia.com:443
[https] jobs.verizondigitalmedia.com:443
[https] my.verizondigitalmedia.com:443
[https] nxt.verizondigitalmedia.com:443
[https] perf.verizondigitalmedia.com:443
[https] research-stage.verizondigitalmedia.com:443
[https] research-staging.verizondigitalmedia.com:443
[https] research.verizondigitalmedia.com:443
[https] rss.verizondigitalmedia.com:443
[https] s0.verizondigitalmedia.com:443
[https] s1.verizondigitalmedia.com:443
[https] s2.verizondigitalmedia.com:443
[https] s3.verizondigitalmedia.com:443
[https] s4.verizondigitalmedia.com:443
[https] s5.verizondigitalmedia.com:443
[https] sales.verizondigitalmedia.com:443
[https] stage-www.verizondigitalmedia.com:443
[https] status.verizondigitalmedia.com:443
[https] stg-demos.verizondigitalmedia.com:443
[http] stage-www.verizondigitalmedia.com:80
[http] status.verizondigitalmedia.com:80
[http] stg-demos.verizondigitalmedia.com:80
[https] tools.verizondigitalmedia.com:443
[https] verizondigitalmedia.com:443
[https] view.hello.verizondigitalmedia.com:443
[https] vzgo.verizondigitalmedia.com:443
[https] vzgoweb.verizondigitalmedia.com:443
[http] tools.verizondigitalmedia.com:80
[http] verizondigitalmedia.com:80
[http] view.hello.verizondigitalmedia.com:80
[http] vzgo.verizondigitalmedia.com:80
[http] vzgoweb.verizondigitalmedia.com:80
[ies-lm] gc-origin.verizondigitalmedia.com:1443
[imap] gc-origin.verizondigitalmedia.com:143
[imaps] gc-origin.verizondigitalmedia.com:993
[jetdirect] gc-origin.verizondigitalmedia.com:9100
[mit-ml-dev] gc-origin.verizondigitalmedia.com:83
[mit-ml-dev] gc-origin.verizondigitalmedia.com:85
[ms-wbt-server] gc-origin.verizondigitalmedia.com:3389
[ncd-conf] gc-origin.verizondigitalmedia.com:5999
[ndmps] gc-origin.verizondigitalmedia.com:30000
[opsmessaging] gc-origin.verizondigitalmedia.com:8090
[pop3] gc-origin.verizondigitalmedia.com:110
[pop3s] gc-origin.verizondigitalmedia.com:995
[postgresql] gc-origin.verizondigitalmedia.com:5432
[radan-http] gc-origin.verizondigitalmedia.com:8088
[rtmp] gc-origin.verizondigitalmedia.com:1935
[smtp] gc-origin.verizondigitalmedia.com:25
[smtp] hello.verizondigitalmedia.com:25
[smtps] gc-origin.verizondigitalmedia.com:465
[submission] gc-origin.verizondigitalmedia.com:587
[su-mit-tg] gc-origin.verizondigitalmedia.com:89
[unknown] gc-origin.verizondigitalmedia.com:8085
[unknown] gc-origin.verizondigitalmedia.com:8089
[unknown] gc-origin.verizondigitalmedia.com:8099
[vnc-1] gc-origin.verizondigitalmedia.com:5901
[vnc] gc-origin.verizondigitalmedia.com:5900
[wap-wsp] gc-origin.verizondigitalmedia.com:9200
[webobjects] gc-origin.verizondigitalmedia.com:1085
[whois] gc-origin.verizondigitalmedia.com:43
[xmpp-client] gc-origin.verizondigitalmedia.com:5222
