[domain] krant.volkskrant.nl:53
[http] acc.inclusief.volkskrant.nl:80
[http] actie.volkskrant.nl:80
[http] advertorial.volkskrant.nl:80
[http] beta.volkskrant.nl:80
[http] brandedcontent.volkskrant.nl:80
[http] caps-acc.volkskrant.nl:80
[http] e.email.volkskrant.nl:80
[http] ims.volkskrant.nl:80
[http] inclusief.volkskrant.nl:80
[http] krant.volkskrant.nl:80
[http] mobile-vkgo-acc.volkskrant.nl:80
[http] mobile.volkskrant.nl:80
[http] openredactie.volkskrant.nl:80
[https] acc.inclusief.volkskrant.nl:443
[https] actie.volkskrant.nl:443
[https] advertorial.volkskrant.nl:443
[https] beta.volkskrant.nl:443
[https] brandedcontent.volkskrant.nl:443
[https] caps-acc.volkskrant.nl:443
[http] secure-acc.volkskrant.nl:80
[https] e.email.volkskrant.nl:443
[http] service.volkskrant.nl:80
[https] ims.volkskrant.nl:443
[https] inclusief.volkskrant.nl:443
[https] krant.volkskrant.nl:443
[https] mobile-vkgo-acc.volkskrant.nl:443
[https] mobile.volkskrant.nl:443
[https] openredactie.volkskrant.nl:443
[https] secure-acc.volkskrant.nl:443
[https] service.volkskrant.nl:443
[https] story.volkskrant.nl:443
[https] test-openredactie.volkskrant.nl:443
[http] story.volkskrant.nl:80
[https] t.volkskrant.nl:443
[https] video.volkskrant.nl:443
[https] vkgo-acc.volkskrant.nl:443
[https] web.volkskrant.nl:443
[https] webwinkel.volkskrant.nl:443
[https] www.acceptance.volkskrant.nl:443
[https] www.volkskrant.nl:443
[http] test-openredactie.volkskrant.nl:80
[http] t.volkskrant.nl:80
[http] video.volkskrant.nl:80
[http] vkgo-acc.volkskrant.nl:80
[http] web.volkskrant.nl:80
[http] webwinkel.volkskrant.nl:80
[http] www.acceptance.volkskrant.nl:80
[http] www.volkskrant.nl:80
[ntp] krant.volkskrant.nl:123
[ssh] openredactie.volkskrant.nl:22
[ssh] test-openredactie.volkskrant.nl:22
