[cddbp-alt] communicatie.vtm.be:8880
[eli] communicatie.vtm.be:2087
[gnunet] communicatie.vtm.be:2086
[http] actie.vtm.be:80
[http] communicatie.vtm.be:80
[http] dev.koken.vtm.be:80
[http] dev.vtm.be:80
[http] flvpd.vtm.be:80
[http] icsyv-staging.vtm.be:80
[http] icsyv.vtm.be:80
[http] ims.vtm.be:80
[http] koken.vtm.be:80
[http-proxy] communicatie.vtm.be:8080
[http] qualifio.koken.vtm.be:80
[http] qualifio.nieuws.vtm.be:80
[http] qualifio.vtm.be:80
[https] actie.vtm.be:443
[https-alt] communicatie.vtm.be:8443
[https] communicatie.vtm.be:443
[https] dev.koken.vtm.be:443
[https] dev.vtm.be:443
[https] flvpd.vtm.be:443
[https] icsyv-staging.vtm.be:443
[https] icsyv.vtm.be:443
[https] ims.vtm.be:443
[https] koken.vtm.be:443
[https] qualifio.koken.vtm.be:443
[https] qualifio.nieuws.vtm.be:443
[https] qualifio.vtm.be:443
[https] sst.vtm.be:443
[https] stag.assets.vtm.be:443
[https] staging.koken.vtm.be:443
[https] stag.koken.vtm.be:443
[https] stag.vtm.be:443
[https] stem.vtm.be:443
[http] sst.vtm.be:80
[http] stag.assets.vtm.be:80
[http] staging.koken.vtm.be:80
[http] stag.koken.vtm.be:80
[http] stag.vtm.be:80
[http] stem.vtm.be:80
[https] tickets.vtm.be:443
[https] vtm.be:443
[https] www.vtm.be:443
[http] tickets.vtm.be:80
[http] vtm.be:80
[http] www.vtm.be:80
[infowave] communicatie.vtm.be:2082
[radsec] communicatie.vtm.be:2083
