[amqp] oma.staging.xoom.com:5672
[blackice-icecap] oma.staging.xoom.com:8081
[ctf] oma.staging.xoom.com:84
[dn6-nlm-aud] oma.staging.xoom.com:195
[dnp] oma.staging.xoom.com:20000
[domain] dmz004.sjc.xoom.com:53
[d-s-n] oma.staging.xoom.com:8086
[http] atl-panvpn.xoom.com:80
[http] atl-tcovpn.xoom.com:80
[http] autodiscover.xoom.com:80
[http] blog.xoom.com:80
[http] click.messages.xoom.com:80
[http] embed.xoom.com:80
[http] help.xoom.com:80
[http] id.xoom.com:80
[http] image.messages.xoom.com:80
[http] lyncdiscover.xoom.com:80
[http] messages.xoom.com:80
[http] msoid.xoom.com:80
[http] m.xoom.com:80
[http] mymail.xoom.com:80
[http] news.xoom.com:80
[http] okta.xoom.com:80
[http] oma.staging.xoom.com:80
[http] pages.messages.xoom.com:80
[http] pages.xoom.com:80
[http] panvpntest.xoom.com:80
[http] panvpn.xoom.com:80
[http] partner.xoom.com:80
[http-proxy] oma.staging.xoom.com:8080
[http] refer.xoom.com:80
[https] api.xoom.com:443
[https] atl-panvpn.xoom.com:443
[https] atl-tcovpn.xoom.com:443
[https] blog.xoom.com:443
[https] click.messages.xoom.com:443
[https] embed.xoom.com:443
[https] help.xoom.com:443
[https] id.xoom.com:443
[https] image.messages.xoom.com:443
[http] sjc-panvpn.xoom.com:80
[http] sjc-tcovpn.xoom.com:80
[https] lyncdiscover.xoom.com:443
[https] messages.xoom.com:443
[https] mobile.xoom.com:443
[https] msoid.xoom.com:443
[https] m.xoom.com:443
[https] mymail.xoom.com:443
[https] news.xoom.com:443
[https] notify-issue.xoom.com:443
[https] okta.xoom.com:443
[https] oma.staging.xoom.com:443
[https] pages.messages.xoom.com:443
[https] pages.xoom.com:443
[https] panvpntest.xoom.com:443
[https] panvpn.xoom.com:443
[https] partnerships.xoom.com:443
[https] partner.xoom.com:443
[https] refer.xoom.com:443
[https] sip.xoom.com:443
[https] sjc-panvpn.xoom.com:443
[https] sjc-tcovpn.xoom.com:443
[https] tcovpn.xoom.com:443
[https] t.xoom.com:443
[https] videos.xoom.com:443
[https] view.messages.xoom.com:443
[https] webservices.xoom.com:443
[https] www.xoom.com:443
[https] xoom.com:443
[http] tcovpn.xoom.com:80
[http] t.xoom.com:80
[http] videos.xoom.com:80
[http] view.messages.xoom.com:80
[http] www.xoom.com:80
[http] xoom.com:80
[imap] mymail.xoom.com:143
[imap] oma.staging.xoom.com:143
[imaps] mymail.xoom.com:993
[imaps] oma.staging.xoom.com:993
[jetdirect] oma.staging.xoom.com:9100
[memcache] oma.staging.xoom.com:11211
[mit-ml-dev] oma.staging.xoom.com:83
[mqtt] oma.staging.xoom.com:1883
[ms-wbt-server] oma.staging.xoom.com:3389
[opsmessaging] oma.staging.xoom.com:8090
[pop3] mymail.xoom.com:110
[pop3] oma.staging.xoom.com:110
[pop3s] mymail.xoom.com:995
[pop3s] oma.staging.xoom.com:995
[priv-term-l] oma.staging.xoom.com:87
[redis] oma.staging.xoom.com:6379
[rtmp] oma.staging.xoom.com:1935
[sip-tls] sip.xoom.com:5061
[smtp] mymail.xoom.com:25
[smtps] oma.staging.xoom.com:465
[submission] mymail.xoom.com:587
[submission] oma.staging.xoom.com:587
[unknown] oma.staging.xoom.com:8089
[unknown] oma.staging.xoom.com:8099
[vnc-1] oma.staging.xoom.com:5901
[vnc] oma.staging.xoom.com:5900
[wap-wsp] oma.staging.xoom.com:9200
[whois] oma.staging.xoom.com:43
[XmlIpcRegSvc] oma.staging.xoom.com:9092
[xmpp-client] oma.staging.xoom.com:5222
