[cddbp-alt] docs.yin.finance:8880
[d-s-n] alpha.yin.finance:8086
[d-s-n] app.yin.finance:8086
[d-s-n] devhome.yin.finance:8086
[d-s-n] dev.yin.finance:8086
[d-s-n] www.yin.finance:8086
[d-s-n] yin.finance:8086
[eli] docs.yin.finance:2087
[http] alpha.yin.finance:80
[http] app.yin.finance:80
[http] devhome.yin.finance:80
[http] dev.yin.finance:80
[http] faucet.yin.finance:80
[http] gov.yin.finance:80
[http-proxy] docs.yin.finance:8080
[https] alpha.yin.finance:443
[https-alt] docs.yin.finance:8443
[https] app.yin.finance:443
[https] devhome.yin.finance:443
[https] dev.yin.finance:443
[https] docs.yin.finance:443
[https] faucet.yin.finance:443
[https] gov.yin.finance:443
[https] www.yin.finance:443
[https] yin.finance:443
[http] www.yin.finance:80
[http] yin.finance:80
[infowave] docs.yin.finance:2082
[ssh] alpha.yin.finance:22
[ssh] app.yin.finance:22
[ssh] devhome.yin.finance:22
[ssh] dev.yin.finance:22
[ssh] www.yin.finance:22
